Make,Model,Year,Price (PKR),Mileage (KM),Fuel Type,Transmission,City,Condition
Daihatsu,Mira,2008,1228277,154382,Petrol,Manual,Peshawar,Used
Suzuki,Wagon R,2005,400000,94217,Petrol,Manual,Sialkot,Used
Suzuki,Cultus,2002,400000,150536,Diesel,Manual,Quetta,Used
Toyota,Corolla,2002,2054601,85270,Petrol,Manual,Quetta,Used
Honda,BR-V,2013,3111569,97225,Diesel,Manual,Faisalabad,Used
Suzuki,Alto,2023,835126,53535,Petrol,Manual,Faisalabad,Used
Kia,Stonic,2003,1696411,99602,Petrol,Automatic,Sialkot,Used
Suzuki,Alto,2001,400000,31892,Diesel,Manual,Quetta,Used
Toyota,Aqua,2005,989267,34907,Diesel,Manual,Quetta,Used
Suzuki,Alto,2004,400000,27329,Electric,Automatic,Sialkot,Used
Hyundai,Elantra,2024,3389594,82949,Diesel,Manual,Faisalabad,Used
Honda,Civic,2019,1680040,168975,Petrol,Automatic,Islamabad,Used
Suzuki,Mehran,2002,400000,160664,Petrol,Automatic,Rawalpindi,Used
Toyota,Aqua,2022,1697359,74351,Diesel,Automatic,Multan,Used
Suzuki,Cultus,2020,923963,23719,Petrol,Manual,Faisalabad,Used
Toyota,Vitz,2022,3076877,136195,Petrol,Manual,Lahore,Used
Honda,Fit,2023,2526729,28940,Petrol,Automatic,Faisalabad,Used
Honda,City,2015,2846722,52576,Electric,Manual,Quetta,Used
Changan,Karvaan,2011,2408385,47159,Petrol,Manual,Faisalabad,Used
Kia,Sorento,2024,3407678,87448,Petrol,Automatic,Multan,Used
Daihatsu,Mira,2021,3215174,19209,Petrol,Manual,Quetta,Used
Honda,Civic,2006,1009973,119849,Diesel,Manual,Lahore,Used
Suzuki,Mehran,2007,400000,8584,Petrol,Automatic,Rawalpindi,Used
Changan,Alsvin,2014,1292571,81509,Petrol,Manual,Multan,Used
Daihatsu,Move,2007,911963,54967,Hybrid,Automatic,Lahore,Used
Toyota,Vitz,2010,2859354,5672,Petrol,Manual,Quetta,Used
Daihatsu,Move,2017,2247974,147456,Petrol,Manual,Rawalpindi,Used
Changan,Alsvin,2018,3068595,88408,Diesel,Manual,Multan,Used
Changan,Oshan X7,2004,924331,136672,Hybrid,Manual,Lahore,Used
Daihatsu,Move,2003,2954264,42789,Petrol,Automatic,Lahore,Used
Toyota,Aqua,2010,2739787,91131,Diesel,Manual,Peshawar,Used
Honda,Fit,2017,1431580,80,Petrol,Manual,Rawalpindi,New
Hyundai,Santro,2003,400000,48611,Petrol,Automatic,Karachi,Used
Toyota,Corolla,2009,2720231,69014,Petrol,Automatic,Islamabad,Used
Suzuki,Mehran,2012,400000,157871,Petrol,Manual,Faisalabad,Used
Toyota,Corolla,2014,3385538,24362,Petrol,Manual,Faisalabad,Used
Honda,Fit,2022,2674968,105845,Diesel,Automatic,Rawalpindi,Used
Toyota,Aqua,2018,2601037,177550,Petrol,Automatic,Karachi,Used
Nissan,Juke,2015,2248927,164138,Diesel,Automatic,Rawalpindi,Used
Honda,City,2020,1423382,100,Petrol,Manual,Islamabad,New
Suzuki,Wagon R,2010,400000,39644,Diesel,Manual,Sialkot,Used
Honda,BR-V,2005,2406020,93792,Diesel,Manual,Lahore,Used
Suzuki,Cultus,2021,937572,100885,Petrol,Manual,Karachi,Used
Toyota,Corolla,2014,1633394,104883,Diesel,Manual,Lahore,Used
Kia,Sorento,2000,2342905,164929,Petrol,Automatic,Quetta,Used
Nissan,Clipper,2020,1982495,14754,Petrol,Manual,Lahore,Used
Suzuki,Mehran,2004,400000,114871,Petrol,Automatic,Multan,Used
Honda,Fit,2019,2551875,102132,Petrol,Manual,Rawalpindi,Used
Daihatsu,Mira,2021,2920579,109369,Petrol,Automatic,Quetta,Used
Suzuki,Cultus,2020,715878,92427,Petrol,Automatic,Rawalpindi,Used
Suzuki,Mehran,2006,400000,43680,Diesel,Automatic,Faisalabad,Used
Daihatsu,Mira,2004,1543733,178292,Diesel,Automatic,Karachi,Used
Toyota,Yaris,2018,1902149,18736,Petrol,Manual,Sialkot,Used
Suzuki,Alto,2015,400000,160625,Petrol,Automatic,Karachi,Used
Kia,Stonic,2014,1350935,130562,Diesel,Manual,Lahore,Used
Honda,Fit,2002,656974,43884,Petrol,Manual,Sialkot,Used
Kia,Sorento,2019,2971705,163709,Petrol,Automatic,Sialkot,Used
Kia,Picanto,2013,1641742,93848,Diesel,Manual,Multan,Used
Kia,Stonic,2013,1809425,45013,Petrol,Manual,Lahore,Used
Suzuki,Alto,2002,400000,150849,Petrol,Manual,Lahore,Used
Toyota,Vitz,2023,2607709,39,Petrol,Automatic,Islamabad,New
Honda,City,2003,2401450,35116,Diesel,Automatic,Multan,Used
Daihatsu,Cuore,2019,3717930,164644,Hybrid,Manual,Karachi,Used
Suzuki,Wagon R,2010,447353,153457,Petrol,Automatic,Islamabad,Used
Kia,Sportage,2002,877556,115056,Petrol,Automatic,Peshawar,Used
Toyota,Aqua,2024,1856335,45784,Petrol,Automatic,Lahore,Used
Toyota,Vitz,2015,2734976,61510,Diesel,Automatic,Peshawar,Used
Toyota,Aqua,2021,3273887,179884,Petrol,Automatic,Multan,Used
Changan,Alsvin,2000,1474291,71982,Petrol,Automatic,Karachi,Used
Honda,Fit,2005,2780753,136140,Petrol,Manual,Lahore,Used
Toyota,Corolla,2013,1155216,73,Petrol,Manual,Multan,New
Toyota,Vitz,2000,400000,99857,Petrol,Automatic,Rawalpindi,Used
Toyota,Vitz,2016,2285385,28,Petrol,Automatic,Lahore,New
Honda,Civic,2016,2437234,174199,Diesel,Automatic,Lahore,Used
Suzuki,Cultus,2005,919707,51437,Hybrid,Manual,Quetta,Used
Hyundai,Santro,2021,3680561,169421,Petrol,Manual,Lahore,Used
Toyota,Aqua,2008,1592200,24448,Petrol,Manual,Karachi,Used
Suzuki,Wagon R,2002,400000,137924,Petrol,Automatic,Quetta,Used
Nissan,Juke,2020,3152072,44547,Hybrid,Manual,Lahore,Used
Hyundai,Sonata,2022,2173504,31,Diesel,Manual,Sialkot,New
Honda,City,2011,1766414,112156,Diesel,Automatic,Peshawar,Used
Suzuki,Alto,2017,726746,177114,Hybrid,Automatic,Peshawar,Used
Suzuki,Cultus,2011,560061,38803,Petrol,Automatic,Faisalabad,Used
Honda,BR-V,2004,3062873,174351,Petrol,Manual,Karachi,Used
Toyota,Yaris,2006,2726580,64386,Electric,Automatic,Lahore,Used
Toyota,Corolla,2016,3508857,178520,Petrol,Automatic,Multan,Used
Suzuki,Cultus,2022,818848,16453,Petrol,Automatic,Quetta,Used
Honda,Fit,2007,1412944,55860,Petrol,Manual,Quetta,Used
Hyundai,Santro,2016,1810329,163508,Petrol,Manual,Karachi,Used
Honda,BR-V,2017,3409493,79727,Petrol,Automatic,Faisalabad,Used
Toyota,Hilux,2004,902634,123260,Diesel,Automatic,Multan,Used
Suzuki,Mehran,2011,400000,63861,Petrol,Automatic,Peshawar,Used
Hyundai,Elantra,2001,2603226,127974,Petrol,Automatic,Lahore,Used
Suzuki,Cultus,2004,400000,115953,Petrol,Manual,Rawalpindi,Used
Toyota,Corolla,2007,2937329,34060,Diesel,Manual,Sialkot,Used
Suzuki,Mehran,2018,601489,117522,Petrol,Manual,Rawalpindi,Used
Honda,City,2021,3493858,22741,Hybrid,Automatic,Multan,Used
Daihatsu,Mira,2020,2852759,9257,Petrol,Automatic,Peshawar,Used
Suzuki,Alto,2024,1148671,16622,Petrol,Manual,Islamabad,Used
Hyundai,Santro,2022,2189179,21541,Diesel,Manual,Karachi,Used
Toyota,Corolla,2006,1732148,140104,Petrol,Manual,Faisalabad,Used
Suzuki,Cultus,2009,400000,76622,Petrol,Manual,Multan,Used
Nissan,Juke,2014,2477325,53973,Petrol,Manual,Peshawar,Used
Audi,Q2,2002,7434986,52305,Petrol,Manual,Lahore,Used
Suzuki,Wagon R,2009,619185,121367,Petrol,Automatic,Peshawar,Used
Honda,Fit,2008,1263217,172120,Petrol,Automatic,Karachi,Used
Suzuki,Mehran,2021,726854,22624,Petrol,Manual,Peshawar,Used
Toyota,Hilux,2001,1808783,102521,Petrol,Automatic,Islamabad,Used
Honda,Fit,2010,2058781,11793,Diesel,Manual,Sialkot,Used
Toyota,Hilux,2003,943381,61248,Electric,Manual,Quetta,Used
Suzuki,Cultus,2002,573600,88778,Petrol,Automatic,Sialkot,Used
Honda,BR-V,2005,949951,138367,Petrol,Automatic,Islamabad,Used
Suzuki,Swift,2000,400000,127527,Diesel,Automatic,Lahore,Used
Suzuki,Swift,2022,1203545,112330,Diesel,Automatic,Islamabad,Used
Changan,Oshan X7,2002,2236533,38642,Diesel,Automatic,Islamabad,Used
Toyota,Corolla,2003,1902389,47458,Petrol,Automatic,Peshawar,Used
BMW,3 Series,2009,6263714,76945,Petrol,Manual,Sialkot,Used
Suzuki,Cultus,2018,707050,177682,Petrol,Manual,Karachi,Used
Hyundai,Tucson,2002,2716017,83,Petrol,Manual,Karachi,New
Honda,N WGN,2009,1517574,69193,Diesel,Manual,Faisalabad,Used
Toyota,Corolla,2005,1994471,58483,Petrol,Automatic,Peshawar,Used
Daihatsu,Move,2023,2876329,39279,Diesel,Automatic,Peshawar,Used
Suzuki,Alto,2008,424696,18265,Petrol,Manual,Multan,Used
Suzuki,Cultus,2010,499571,46770,Petrol,Manual,Quetta,Used
Nissan,Clipper,2000,1079401,58,Hybrid,Automatic,Peshawar,New
Suzuki,Wagon R,2015,750921,79907,Petrol,Automatic,Multan,Used
Suzuki,Wagon R,2023,1154878,16860,Petrol,Automatic,Peshawar,Used
Honda,Civic,2012,3126311,168379,Petrol,Automatic,Islamabad,Used
Changan,Karvaan,2011,1711718,100841,Diesel,Automatic,Sialkot,Used
Toyota,Corolla,2001,1008711,66,Petrol,Automatic,Peshawar,New
Audi,Q2,2005,9762832,137989,Diesel,Manual,Faisalabad,Used
Toyota,Corolla,2011,989966,158014,Petrol,Automatic,Quetta,Used
Toyota,Hilux,2018,1136501,130946,Petrol,Manual,Islamabad,Used
Hyundai,Elantra,2001,925797,9964,Petrol,Manual,Islamabad,Used
Toyota,Yaris,2013,3168263,41197,Petrol,Manual,Quetta,Used
Honda,BR-V,2005,2503585,148202,Petrol,Manual,Quetta,Used
Suzuki,Cultus,2008,400000,80760,Diesel,Manual,Peshawar,Used
Toyota,Hilux,2023,1916011,147394,Petrol,Manual,Peshawar,Used
BMW,X1,2009,7735762,83,Petrol,Manual,Rawalpindi,New
Suzuki,Mehran,2008,476943,33633,Petrol,Automatic,Rawalpindi,Used
Suzuki,Mehran,2007,400000,113344,Petrol,Manual,Lahore,Used
Kia,Picanto,2000,402436,176151,Hybrid,Manual,Quetta,Used
Honda,BR-V,2010,1303995,175996,Petrol,Automatic,Islamabad,Used
Toyota,Yaris,2001,1211725,53840,Hybrid,Manual,Karachi,Used
Suzuki,Mehran,2019,864827,124104,Hybrid,Manual,Islamabad,Used
Daihatsu,Move,2008,958986,47596,Diesel,Manual,Islamabad,Used
Suzuki,Wagon R,2009,400000,165158,Diesel,Manual,Multan,Used
Honda,Civic,2012,1813868,130161,Petrol,Automatic,Karachi,Used
Suzuki,Cultus,2014,549877,157688,Diesel,Automatic,Faisalabad,Used
Honda,City,2001,2067109,46868,Petrol,Manual,Lahore,Used
Honda,BR-V,2011,1931500,130352,Petrol,Manual,Multan,Used
Kia,Sorento,2024,2416084,161189,Diesel,Automatic,Sialkot,Used
Toyota,Aqua,2002,1352569,148562,Hybrid,Automatic,Sialkot,Used
Suzuki,Wagon R,2016,400000,133143,Petrol,Manual,Karachi,Used
Toyota,Hilux,2013,716503,126209,Petrol,Manual,Karachi,Used
Toyota,Corolla,2023,1780372,116069,Petrol,Automatic,Sialkot,Used
Changan,Alsvin,2015,2822602,98,Petrol,Manual,Peshawar,New
Changan,Karvaan,2014,2390974,26037,Petrol,Automatic,Peshawar,Used
Suzuki,Mehran,2012,788047,10959,Hybrid,Manual,Sialkot,Used
Toyota,Vitz,2007,2266255,77259,Petrol,Automatic,Karachi,Used
Hyundai,Santro,2019,1307903,59023,Petrol,Automatic,Quetta,Used
Honda,Civic,2007,1869128,66430,Petrol,Automatic,Islamabad,Used
Honda,BR-V,2007,2865798,156381,Petrol,Manual,Rawalpindi,Used
Toyota,Yaris,2021,3056436,77129,Petrol,Automatic,Multan,Used
Honda,Civic,2011,1945032,88554,Petrol,Manual,Islamabad,Used
Toyota,Yaris,2024,2510693,83836,Diesel,Automatic,Quetta,Used
Nissan,Juke,2013,2853293,40151,Petrol,Manual,Rawalpindi,Used
Toyota,Corolla,2014,985762,54933,Petrol,Manual,Karachi,Used
Daihatsu,Mira,2024,3843988,130670,Petrol,Manual,Faisalabad,Used
Changan,Alsvin,2006,502145,68594,Petrol,Automatic,Multan,Used
Nissan,Juke,2010,1961043,144893,Petrol,Manual,Faisalabad,Used
Toyota,Vitz,2014,2849455,26,Petrol,Manual,Karachi,New
Honda,City,2023,2501242,158100,Petrol,Manual,Faisalabad,Used
Suzuki,Wagon R,2007,400000,149347,Petrol,Manual,Faisalabad,Used
Hyundai,Santro,2023,3477306,49101,Diesel,Manual,Islamabad,Used
Suzuki,Mehran,2015,1119189,142348,Petrol,Automatic,Karachi,Used
Hyundai,Santro,2004,1892542,44591,Petrol,Manual,Peshawar,Used
Suzuki,Mehran,2015,628701,144516,Petrol,Automatic,Karachi,Used
Honda,BR-V,2017,971119,117872,Diesel,Automatic,Lahore,Used
Nissan,Juke,2004,2646436,97914,Petrol,Manual,Lahore,Used
Toyota,Vitz,2014,1854133,26133,Petrol,Automatic,Lahore,Used
Toyota,Vitz,2017,1242395,26675,Petrol,Manual,Peshawar,Used
Honda,Civic,2016,2082030,153579,Petrol,Automatic,Lahore,Used
Kia,Stonic,2017,1333444,87440,Petrol,Automatic,Islamabad,Used
Hyundai,Santro,2002,2731994,153555,Diesel,Manual,Sialkot,Used
Toyota,Yaris,2022,3469813,19076,Petrol,Automatic,Lahore,Used
Toyota,Hilux,2019,2749507,171231,Petrol,Manual,Quetta,Used
Suzuki,Mehran,2012,576542,27464,Diesel,Manual,Rawalpindi,Used
Kia,Sportage,2008,1009996,88015,Petrol,Automatic,Karachi,Used
BMW,X5,2011,6702803,54123,Petrol,Manual,Lahore,Used
Suzuki,Wagon R,2017,989433,49,Petrol,Manual,Multan,New
Hyundai,Elantra,2018,2843609,41396,Petrol,Manual,Quetta,Used
Suzuki,Cultus,2013,400000,25164,Petrol,Automatic,Quetta,Used
Honda,City,2014,2568958,108728,Petrol,Manual,Peshawar,Used
Toyota,Vitz,2020,1833435,89060,Petrol,Automatic,Quetta,Used
Toyota,Vitz,2010,2222699,68550,Petrol,Manual,Multan,Used
Toyota,Hilux,2006,3004040,149205,Petrol,Manual,Rawalpindi,Used
Toyota,Aqua,2022,3045176,17,Petrol,Automatic,Faisalabad,New
Kia,Sorento,2012,2354276,51,Petrol,Manual,Sialkot,New
Suzuki,Wagon R,2022,1167320,172295,Hybrid,Automatic,Rawalpindi,Used
Honda,BR-V,2005,400000,174091,Petrol,Manual,Peshawar,Used
Changan,Karvaan,2003,1554169,65,Diesel,Automatic,Quetta,New
Toyota,Vitz,2024,3599105,95431,Electric,Manual,Lahore,Used
Toyota,Corolla,2003,715452,86760,Petrol,Automatic,Sialkot,Used
Honda,Fit,2003,2099901,22609,Petrol,Automatic,Karachi,Used
Daihatsu,Cuore,2003,1097981,140264,Petrol,Automatic,Peshawar,Used
Honda,Fit,2007,1518336,172897,Petrol,Manual,Karachi,Used
Kia,Picanto,2014,2925065,61307,Petrol,Automatic,Lahore,Used
Hyundai,Elantra,2011,2964937,73774,Petrol,Manual,Sialkot,Used
Changan,Karvaan,2019,2661753,34945,Petrol,Manual,Islamabad,Used
Hyundai,Sonata,2019,1756572,35896,Petrol,Automatic,Islamabad,Used
Toyota,Yaris,2016,1315537,105587,Petrol,Manual,Sialkot,Used
Kia,Picanto,2017,2442744,54046,Petrol,Manual,Karachi,Used
Daihatsu,Mira,2015,2267915,137497,Petrol,Manual,Quetta,Used
Toyota,Vitz,2015,3655054,62810,Petrol,Manual,Rawalpindi,Used
Honda,City,2024,3577494,138904,Petrol,Automatic,Faisalabad,Used
Hyundai,Sonata,2017,1129577,148223,Petrol,Manual,Lahore,Used
Kia,Picanto,2009,450979,73895,Petrol,Automatic,Quetta,Used
Daihatsu,Mira,2024,2380292,96915,Diesel,Manual,Islamabad,Used
Honda,City,2006,2703389,144534,Petrol,Automatic,Peshawar,Used
Changan,Karvaan,2009,3170397,40543,Hybrid,Manual,Karachi,Used
Changan,Oshan X7,2004,1002045,43336,Diesel,Automatic,Multan,Used
Honda,N WGN,2020,2960689,123486,Petrol,Automatic,Multan,Used
Honda,BR-V,2022,2888802,132937,Petrol,Automatic,Lahore,Used
Kia,Sorento,2020,2889295,145096,Petrol,Manual,Rawalpindi,Used
Honda,BR-V,2009,3367274,153410,Diesel,Manual,Karachi,Used
Suzuki,Swift,2000,400000,124673,Petrol,Manual,Rawalpindi,Used
Changan,Alsvin,2020,2520384,176596,Petrol,Automatic,Peshawar,Used
Kia,Picanto,2001,1615551,117520,Petrol,Automatic,Karachi,Used
Suzuki,Alto,2004,400000,7434,Petrol,Manual,Lahore,Used
Changan,Karvaan,2022,1697059,105419,Petrol,Automatic,Lahore,Used
Toyota,Aqua,2004,1283975,22933,Petrol,Automatic,Islamabad,Used
Toyota,Yaris,2020,2914900,61949,Petrol,Automatic,Islamabad,Used
Hyundai,Santro,2011,2320872,69955,Petrol,Automatic,Rawalpindi,Used
Honda,N WGN,2023,1552972,58856,Petrol,Automatic,Multan,Used
Toyota,Corolla,2007,1095698,135962,Petrol,Automatic,Sialkot,Used
Nissan,Dayz,2011,1134437,153997,Petrol,Automatic,Quetta,Used
BMW,X1,2000,7040721,15440,Hybrid,Manual,Sialkot,Used
Toyota,Hilux,2024,3187273,172913,Petrol,Automatic,Faisalabad,Used
Suzuki,Alto,2016,400000,90655,Petrol,Automatic,Faisalabad,Used
Kia,Picanto,2001,2512710,123848,Petrol,Automatic,Faisalabad,Used
Kia,Picanto,2003,1624280,20,Petrol,Manual,Sialkot,New
Honda,BR-V,2005,1953292,12695,Petrol,Manual,Faisalabad,Used
Honda,BR-V,2022,1653193,124327,Petrol,Automatic,Quetta,Used
Daihatsu,Mira,2011,693715,35234,Petrol,Automatic,Karachi,Used
Daihatsu,Mira,2007,1833279,19,Petrol,Automatic,Sialkot,New
Hyundai,Santro,2007,2193028,76108,Diesel,Manual,Lahore,Used
Honda,Civic,2005,3168952,110100,Petrol,Manual,Faisalabad,Used
Hyundai,Sonata,2010,3121116,47,Petrol,Manual,Rawalpindi,New
Toyota,Hilux,2015,1494919,69258,Petrol,Manual,Karachi,Used
Suzuki,Wagon R,2020,554416,5383,Diesel,Manual,Faisalabad,Used
Suzuki,Mehran,2007,400000,78354,Petrol,Automatic,Sialkot,Used
Toyota,Aqua,2014,894886,30054,Petrol,Manual,Lahore,Used
Honda,Civic,2013,1486856,81461,Petrol,Manual,Multan,Used
Kia,Stonic,2010,2062790,58139,Petrol,Automatic,Islamabad,Used
Suzuki,Swift,2014,400000,98922,Hybrid,Automatic,Quetta,Used
Toyota,Aqua,2003,695374,5,Petrol,Manual,Islamabad,New
Suzuki,Cultus,2011,400000,73201,Diesel,Automatic,Karachi,Used
BMW,X5,2017,6230693,31714,Diesel,Automatic,Lahore,Used
Suzuki,Cultus,2004,400000,170228,Hybrid,Automatic,Faisalabad,Used
Nissan,Dayz,2000,454521,38761,Petrol,Manual,Lahore,Used
Suzuki,Swift,2001,400000,108546,Petrol,Manual,Multan,Used
Suzuki,Cultus,2005,517537,14083,Petrol,Automatic,Faisalabad,Used
Honda,N WGN,2015,2041647,17,Petrol,Automatic,Sialkot,New
Hyundai,Santro,2022,3616819,95186,Hybrid,Manual,Multan,Used
Toyota,Corolla,2010,827399,20359,Diesel,Manual,Sialkot,Used
Toyota,Hilux,2007,1027714,177193,Petrol,Automatic,Rawalpindi,Used
Honda,Fit,2011,1668548,67010,Petrol,Manual,Karachi,Used
Kia,Stonic,2018,3593817,134034,Petrol,Automatic,Quetta,Used
Suzuki,Alto,2007,400000,130301,Petrol,Automatic,Islamabad,Used
Toyota,Yaris,2010,763117,90,Hybrid,Automatic,Sialkot,New
Daihatsu,Mira,2011,1900718,31484,Petrol,Manual,Islamabad,Used
Changan,Oshan X7,2013,2866018,50666,Diesel,Manual,Rawalpindi,Used
Kia,Picanto,2012,2295002,51585,Diesel,Manual,Karachi,Used
Suzuki,Wagon R,2019,1224797,135071,Petrol,Automatic,Rawalpindi,Used
Toyota,Aqua,2005,656010,122081,Petrol,Automatic,Rawalpindi,Used
Kia,Stonic,2008,1084413,106171,Petrol,Manual,Islamabad,Used
Nissan,Clipper,2012,2674793,130695,Diesel,Automatic,Islamabad,Used
Toyota,Corolla,2009,2089358,9,Petrol,Manual,Islamabad,New
Kia,Sportage,2010,3187876,118068,Hybrid,Automatic,Multan,Used
Suzuki,Alto,2010,400000,150257,Diesel,Manual,Faisalabad,Used
Toyota,Corolla,2001,1865425,45262,Petrol,Automatic,Multan,Used
Suzuki,Mehran,2015,402860,49782,Petrol,Automatic,Quetta,Used
Daihatsu,Move,2012,2228169,173261,Petrol,Automatic,Peshawar,Used
Nissan,Clipper,2005,1129240,126912,Petrol,Manual,Karachi,Used
Suzuki,Alto,2002,400000,159593,Petrol,Automatic,Multan,Used
Hyundai,Santro,2017,2826095,66772,Petrol,Automatic,Multan,Used
Nissan,Juke,2001,1484874,167600,Petrol,Manual,Islamabad,Used
BMW,X1,2006,4999135,25543,Hybrid,Manual,Rawalpindi,Used
Changan,Oshan X7,2004,1343453,22566,Petrol,Manual,Sialkot,Used
Toyota,Aqua,2016,775745,141986,Diesel,Automatic,Multan,Used
Suzuki,Mehran,2018,702001,152504,Diesel,Manual,Sialkot,Used
Nissan,Clipper,2008,2017074,164635,Petrol,Automatic,Faisalabad,Used
Toyota,Hilux,2019,3059520,108754,Diesel,Manual,Rawalpindi,Used
Suzuki,Swift,2008,400000,84444,Petrol,Manual,Lahore,Used
Changan,Alsvin,2004,2117420,75626,Diesel,Automatic,Rawalpindi,Used
Toyota,Vitz,2023,3597354,19734,Petrol,Automatic,Lahore,Used
Toyota,Hilux,2012,2564571,12588,Petrol,Automatic,Karachi,Used
Suzuki,Swift,2001,400000,101561,Diesel,Manual,Lahore,Used
Kia,Picanto,2011,2808505,129408,Petrol,Manual,Peshawar,Used
Suzuki,Wagon R,2023,837418,12195,Petrol,Automatic,Rawalpindi,Used
Daihatsu,Cuore,2007,1376160,139553,Petrol,Automatic,Quetta,Used
Nissan,Juke,2005,598248,71162,Petrol,Manual,Faisalabad,Used
Toyota,Vitz,2011,1360012,84205,Petrol,Manual,Lahore,Used
